Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Collection
portable-mini-chair-wireless-charger,Lumu™ Portable Mini Chair Wireless Charger,"<p>Charge your phone in style with this adorable mini chair wireless charger. Featuring 10W fast charging and a unique design that doubles as a phone holder. A perfect desk accessory that combines function with fun.</p><ul><li>10W Fast Wireless Charging</li><li>Universal Qi Compatibility</li><li>Unique Mini Chair Design</li><li>Anti-slip base</li><li>LED charging indicator</li></ul>",Lumu,Wireless Charger,"Wireless Charger, Phone Stand, Fast Charging, Gadget, Desk Accessory, Tech, Trending",TRUE,Color,White,ZMJT148501101AZ-GLD-ZAM,150,shopify,100,deny,manual,89.00,189.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJT148501101AZ-GLD-ZAM,1,Portable Mini Chair Wireless Charger,Portable Mini Chair Wireless Charger | Lumu,Charge your phone in style with the Lumu Mini Chair Wireless Charger. 10W fast charging with a unique modern design. Free shipping across GCC.,Tech & Smart Gadgets
double-head-electric-shaver,Lumu™ Double Head Electric Shaver,"<p>Experience a smooth and effortless shave with the Lumu Double Head Electric Shaver. Precision dual rotary blades ensure a close shave while being gentle on your skin. Compact, portable, and USB rechargeable.</p><ul><li>Dual rotary blade system</li><li>USB rechargeable</li><li>Compact travel-friendly design</li><li>Wet & dry use</li><li>Low noise motor</li></ul>",Lumu,Electric Shaver,"Shaver, Grooming, Men, Electric Shaver, Personal Care, Trending",TRUE,Color,Black,DHES-N-GF-GLD-ZAM,200,shopify,100,deny,manual,79.00,159.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/DHES-N-GF-GLD-ZAM,1,Double Head Electric Shaver,Double Head Electric Shaver | Lumu,Get a smooth shave with the Lumu Double Head Electric Shaver. USB rechargeable and travel-friendly. Free shipping across GCC.,Health & Beauty
smart-vacuum-and-blower,Lumu™ Smart Vacuum & Blower 2-in-1,"<p>Keep your workspace spotlessly clean with this compact smart vacuum and blower combo. Perfect for keyboards, desks, car interiors, and electronics. Powerful suction in a pocket-sized design.</p><ul><li>2-in-1 Vacuum & Blower</li><li>Powerful mini motor</li><li>USB rechargeable</li><li>Multiple nozzle attachments</li><li>Perfect for keyboards & electronics</li></ul>",Lumu,Vacuum Cleaner,"Vacuum, Blower, Desk Cleaner, Gadget, Tech, Home, Trending",TRUE,Color,Default,SVB-N-MAW-GLD-ZAM,180,shopify,100,deny,manual,39.00,79.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/SVB-N-MAW-GLD-ZAM,1,Smart Vacuum and Blower,Smart Vacuum & Blower | Lumu,Keep your workspace clean with the Lumu 2-in-1 Smart Vacuum & Blower. Compact and USB rechargeable. Free shipping across GCC.,Tech & Smart Gadgets
portable-body-camera,Lumu™ Portable Body Camera HD,"<p>Capture every moment with this ultra-compact HD body camera. Perfect for security, vlogging, outdoor adventures, and daily documentation. Features loop recording, night vision, and a magnetic clip-on mount.</p><ul><li>Full HD 1080p recording</li><li>Night vision mode</li><li>Loop recording</li><li>Magnetic clip-on mount</li><li>Long battery life</li></ul>",Lumu,Camera,"Camera, Body Camera, Security, Vlog, Gadget, Tech",TRUE,Color,Default,PBDC-N-MAW-GLD-ZAM,120,shopify,100,deny,manual,189.00,379.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/PBDC-N-MAW-GLD-ZAM,1,Portable Body Camera,Portable Body Camera HD | Lumu,Capture every moment with the Lumu Portable Body Camera. Full HD 1080p with night vision. Free shipping across GCC.,Tech & Smart Gadgets
nail-fungus-treatment-liquid,Lumu™ Nail Fungus Treatment Solution,"<p>Restore healthy nails with this clinically-inspired nail fungus treatment by Sumifun. Formulated with powerful antifungal agents to target discoloration and strengthening from root to tip.</p><ul><li>Fast-acting antifungal formula</li><li>Easy brush applicator</li><li>Targets discoloration & damage</li><li>Safe for daily use</li><li>Visible results in weeks</li></ul>",Lumu,Nail Treatment,"Nail Care, Fungus Treatment, Health, Beauty, Self Care",TRUE,Size,Default,SNTL-N-GF-GLD-ZAM,50,shopify,100,deny,manual,39.00,79.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/SNTL-N-GF-GLD-ZAM,1,Nail Fungus Treatment,Nail Fungus Treatment | Lumu,Restore healthy nails with Lumu Nail Fungus Treatment Solution. Fast-acting antifungal formula. Free shipping across GCC.,Health & Beauty
manual-vegetable-cutter,Lumu™ Manual Vegetable Cutter Pro,"<p>Make meal prep a breeze with this multi-functional manual vegetable cutter. Slice, dice, and chop vegetables in seconds with interchangeable blades. No electricity needed — just pull the cord and go!</p><ul><li>Multiple interchangeable blades</li><li>Pull-cord operation — no electricity</li><li>Large capacity bowl</li><li>Easy to clean & dishwasher safe</li><li>BPA-free food-grade materials</li></ul>",Lumu,Kitchen Tool,"Kitchen, Vegetable Cutter, Chopper, Home, Cooking, Gadget",TRUE,Color,White,MTC-WHT-KA-GLD-ZAM,400,shopify,100,deny,manual,59.00,119.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/MTC-WHT-KA-GLD-ZAM,1,Manual Vegetable Cutter,Manual Vegetable Cutter Pro | Lumu,Slice dice and chop vegetables in seconds with the Lumu Manual Vegetable Cutter. No electricity needed. Free shipping across GCC.,Home & Kitchen Essentials
vegetable-cutter-chopper-slicer,Lumu™ Vegetable Cutter Chopper & Slicer,"<p>The ultimate kitchen companion for fast food prep. This multi-purpose vegetable chopper comes with multiple stainless steel blades for slicing, dicing, and julienning. Built-in container catches everything neatly.</p><ul><li>12-in-1 cutting functions</li><li>Stainless steel blades</li><li>Built-in collection container</li><li>Non-slip base</li><li>Easy disassembly for cleaning</li></ul>",Lumu,Kitchen Tool,"Kitchen, Chopper, Slicer, Vegetable, Home, Cooking",TRUE,Color,Default,VCS-N-KA-GLD-ZAM,500,shopify,100,deny,manual,69.00,139.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/VCS-N-KA-GLD-ZAM,1,Vegetable Cutter Chopper Slicer,Vegetable Cutter Chopper & Slicer | Lumu,The ultimate kitchen companion. 12-in-1 vegetable chopper with stainless steel blades. Shop now at Lumu.,Home & Kitchen Essentials
electric-pedicure-foot-file,Lumu™ Electric Pedicure Foot File,"<p>Achieve salon-quality smooth feet at home with this electric pedicure foot file. Effortlessly removes hard skin, calluses, and dead skin with gentle rotating action. USB rechargeable and waterproof.</p><ul><li>Professional callus removal</li><li>3 interchangeable roller heads</li><li>USB rechargeable</li><li>Waterproof design</li><li>Ergonomic grip handle</li></ul>",Lumu,Pedicure Tool,"Pedicure, Foot Care, Beauty, Self Care, Health, Trending",TRUE,Color,Default,EFC-M-GF-GLD-ZAM,200,shopify,100,deny,manual,39.00,89.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/EFC-M-GF-GLD-ZAM,1,Electric Pedicure Foot File,Electric Pedicure Foot File | Lumu,Salon-quality smooth feet at home with the Lumu Electric Pedicure Foot File. USB rechargeable. Free shipping across GCC.,Health & Beauty
hot-air-brush-5in1,Lumu™ Hot Air Brush 5-in-1 Styler,"<p>Get salon-perfect hair at home with this 5-in-1 hot air brush. Dry, curl, straighten, volumize, and style — all in one tool. Ionic technology reduces frizz for silky smooth results every time.</p><ul><li>5-in-1 styling functions</li><li>Ionic anti-frizz technology</li><li>Adjustable heat settings</li><li>360° swivel cord</li><li>Ceramic tourmaline barrel</li></ul>",Lumu,Hair Styler,"Hair, Styler, Hot Air Brush, Beauty, Salon, Women, Trending",TRUE,Color,Black,HAB-BLK-GF-GLD-ZAM,350,shopify,100,deny,manual,79.00,169.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/HAB-BLK-GF-GLD-ZAM,1,Hot Air Brush 5-in-1,Hot Air Brush 5-in-1 Styler | Lumu,Salon-perfect hair at home. 5-in-1 hot air brush with ionic anti-frizz tech. Shop now at Lumu.,Health & Beauty
shoulder-neck-massager,Lumu™ Portable Shoulder & Neck Massager,"<p>Say goodbye to neck and shoulder pain with the Lumu Portable Shoulder & Neck Massager. Deep kneading technology delivers instant relief. Lightweight, portable, and USB rechargeable for use anywhere.</p><ul><li>Deep kneading massage</li><li>Lightweight & portable</li><li>USB rechargeable</li><li>Ergonomic design</li><li>Gift-ready packaging</li></ul>",Lumu,Massager,"Massager, Neck, Shoulder, Health, Self Care, Relaxation, Gift, Trending",TRUE,Color,Default,SUNM-N-GF-GLD-ZAM,300,shopify,100,deny,manual,179.00,349.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/SUNM-N-GF-GLD-ZAM,1,Shoulder and Neck Massager,Portable Shoulder & Neck Massager | Lumu,Relieve neck and shoulder pain with the Lumu Portable Massager. Deep kneading therapy. Free shipping across GCC.,Health & Beauty
bee-venom-psoriasis-cream,Lumu™ Bee Venom Psoriasis Relief Cream,"<p>Natural relief for psoriasis and eczema with this powerful bee venom cream by Sumifun. Soothes itching, reduces redness, and promotes healthy skin regeneration with herbal ingredients.</p><ul><li>Natural bee venom formula</li><li>Soothes itching & redness</li><li>Promotes skin regeneration</li><li>Non-greasy formula</li><li>Suitable for sensitive skin</li></ul>",Lumu,Skin Cream,"Skin Care, Psoriasis, Cream, Health, Beauty, Natural",TRUE,Size,20g,SBVP-20-G-GF-GLD-ZAM,30,shopify,100,deny,manual,35.00,69.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/SBVP-20-G-GF-GLD-ZAM,1,Bee Venom Psoriasis Cream,Bee Venom Psoriasis Relief Cream | Lumu,Natural psoriasis relief with Lumu Bee Venom Cream. Soothes itching and redness. Free shipping across GCC.,Health & Beauty
wireless-chopper,Lumu™ Wireless Electric Chopper,"<p>Chop, mince, and blend effortlessly with this wireless electric food chopper. USB rechargeable with powerful stainless steel blades. Perfect for garlic, onions, herbs, baby food, and more.</p><ul><li>USB rechargeable — no cords</li><li>Stainless steel blades</li><li>One-touch operation</li><li>250ml capacity</li><li>Easy to clean</li></ul>",Lumu,Kitchen Tool,"Kitchen, Chopper, Wireless, Gadget, Home, Cooking",TRUE,Color,Default,WSP-N-KA-GLD-ZAM,300,shopify,100,deny,manual,45.00,89.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/WSP-N-KA-GLD-ZAM,1,Wireless Electric Chopper,Wireless Electric Chopper | Lumu,Cordless electric food chopper with USB charging. Perfect for quick meal prep. Shop now at Lumu.,Home & Kitchen Essentials
portable-sealing-machine,Lumu™ Portable Bag Sealing Machine,"<p>Keep your snacks and food fresh with this handy portable sealing machine. Seals any plastic bag in seconds with a simple slide. Compact enough to carry in your pocket or hang on a keychain.</p><ul><li>Instant heat sealing</li><li>Works on all plastic bags</li><li>Battery operated</li><li>Ultra-compact & portable</li><li>Magnetic fridge mount</li></ul>",Lumu,Kitchen Gadget,"Kitchen, Sealer, Food Storage, Gadget, Home, Trending",TRUE,Color,Default,PSMC-N-HAE-GLD-ZAM,50,shopify,100,deny,manual,29.00,59.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/PSMC-N-HAE-GLD-ZAM,1,Portable Bag Sealing Machine,Portable Bag Sealing Machine | Lumu,Keep food fresh with the Lumu Portable Bag Sealer. Seals any plastic bag in seconds. Free shipping across GCC.,Home & Kitchen Essentials
quran-speaker-sq669,Lumu™ Quran Speaker (SQ669),"<p>Experience the beauty of Quran recitation with this premium Quran speaker. Features multiple renowned reciters, LED moon lamp design, and remote control. A beautiful Islamic gift and home decoration piece.</p><ul><li>Full Quran with multiple reciters</li><li>16 language translations</li><li>LED moon lamp design</li><li>Remote control included</li><li>Bluetooth connectivity</li></ul>",Lumu,Speaker,"Quran, Speaker, Islamic, Gift, Home Decor, Bluetooth, Trending",TRUE,Color,Default,HQSK-N-HAE-GLD-ZAM,400,shopify,100,deny,manual,139.00,279.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/HQSK-N-HAE-GLD-ZAM,1,Quran Speaker SQ669,Quran Speaker SQ669 | Lumu,Premium Quran Speaker with LED moon lamp design. Multiple reciters and Bluetooth. Perfect Islamic gift. Shop at Lumu.,Home & Kitchen Essentials
baby-sitter-jumping,Lumu™ Baby Bouncer Activity Jumper,"<p>Keep your little one entertained and active with this colorful baby bouncer jumping seat. Adjustable height, 360° rotating seat, and multiple activity toys to boost motor skills and coordination.</p><ul><li>360° rotating seat</li><li>Adjustable height settings</li><li>Multiple activity toys</li><li>Sturdy steel frame</li><li>Easy to fold and store</li></ul>",Lumu,Baby Toy,"Baby, Jumper, Bouncer, Kids, Toys, Gift",TRUE,Color,Default,BSJ-N-TY-GLD-ZAM,2000,shopify,50,deny,manual,109.00,219.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/BSJ-N-TY-GLD-ZAM,1,Baby Activity Jumper,Baby Bouncer Activity Jumper | Lumu,Keep your baby entertained with the Lumu Baby Bouncer. 360 rotating seat with activity toys. Free shipping across GCC.,Trending & Viral Finds
earwax-removal-kit,Lumu™ Professional Earwax Removal Kit,"<p>Safe and effective earwax removal with this professional-grade LED camera ear cleaner. Built-in WiFi camera connects to your phone for real-time viewing. Includes multiple soft tip attachments.</p><ul><li>HD WiFi camera with LED light</li><li>Real-time phone viewing</li><li>6 soft silicone tips</li><li>Safe for all ages</li><li>USB rechargeable</li></ul>",Lumu,Health Tool,"Ear Care, Health, Gadget, Tech, Personal Care, Trending",TRUE,Color,Default,ERK-N-GF-GLD-ZAM,100,shopify,100,deny,manual,69.00,149.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ERK-N-GF-GLD-ZAM,1,Earwax Removal Kit,Professional Earwax Removal Kit | Lumu,Safe earwax removal with HD WiFi camera. See real-time on your phone. Shop now at Lumu.,Health & Beauty
a5-wireless-airpods,Lumu™ A-5 Wireless Earbuds,"<p>Immerse yourself in crystal-clear sound with these sleek wireless earbuds. Bluetooth 5.3 for stable connectivity, touch controls, and a compact charging case with LED battery display.</p><ul><li>Bluetooth 5.3 connectivity</li><li>Touch controls</li><li>LED battery display case</li><li>Up to 24hr battery with case</li><li>IPX4 sweat resistant</li></ul>",Lumu,Earbuds,"Earbuds, Airpods, Wireless, Bluetooth, Tech, Music, Trending",TRUE,Color,White,A5A-N-MAW-GLD-ZAM,50,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/A5A-N-MAW-GLD-ZAM,1,A-5 Wireless Earbuds,A-5 Wireless Earbuds | Lumu,Crystal-clear sound with Lumu A-5 Wireless Earbuds. Bluetooth 5.3 with 24hr battery. Free shipping across GCC.,Tech & Smart Gadgets
nicotinamide-toothpaste,Lumu™ Oralhoe Nicotinamide Whitening Toothpaste,"<p>Achieve a brighter smile with this advanced nicotinamide whitening toothpaste. Formulated to remove stains, freshen breath, and strengthen enamel with gentle yet effective ingredients.</p><ul><li>Advanced whitening formula</li><li>Removes coffee & tea stains</li><li>Freshens breath for 12 hours</li><li>Strengthens enamel</li><li>Gentle on sensitive teeth</li></ul>",Lumu,Toothpaste,"Oral Care, Toothpaste, Whitening, Beauty, Health",TRUE,Size,Default,ONDT-N-GF-GLD-ZAM,120,shopify,100,deny,manual,35.00,69.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ONDT-N-GF-GLD-ZAM,1,Nicotinamide Whitening Toothpaste,Nicotinamide Whitening Toothpaste | Lumu,Brighter whiter smile with Lumu Whitening Toothpaste. Removes stains and freshens breath. Shop now.,Health & Beauty
pore-cleaning-device,Lumu™ Pore Deep Cleaning Device,"<p>Purify your skin with this professional pore cleaning device. Powerful vacuum suction removes blackheads, whiteheads, and excess oil. Multiple suction levels and interchangeable heads for all skin types.</p><ul><li>Adjustable suction levels</li><li>5 interchangeable heads</li><li>USB rechargeable</li><li>LED display</li><li>Gentle on all skin types</li></ul>",Lumu,Skincare Device,"Skin Care, Pore Cleaner, Blackhead Remover, Beauty, Trending",TRUE,Color,Default,PCD-N-GF-GLD-ZAM,150,shopify,100,deny,manual,45.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/PCD-N-GF-GLD-ZAM,1,Pore Deep Cleaning Device,Pore Deep Cleaning Device | Lumu,Professional pore cleaning at home. Removes blackheads with vacuum suction. Free shipping across GCC.,Health & Beauty
fighter-rc-jet,Lumu™ Fighter Super RC Jet Plane,"<p>Take to the skies with this thrilling remote control fighter jet. Built with durable EPP foam, 2.4GHz remote for long-range control, and gyroscope stabilization for smooth flight. Perfect for kids and adults.</p><ul><li>2.4GHz long range control</li><li>Gyroscope auto-stabilization</li><li>Durable EPP foam body</li><li>USB rechargeable battery</li><li>Ready to fly out of box</li></ul>",Lumu,RC Toy,"RC, Remote Control, Jet, Plane, Toys, Kids, Gift, Trending",TRUE,Color,Default,FICJ-N-TY-GLD-ZAM,300,shopify,50,deny,manual,99.00,199.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/FICJ-N-TY-GLD-ZAM,1,Fighter RC Jet Plane,Fighter Super RC Jet Plane | Lumu,Thrilling remote control fighter jet. Durable and easy to fly. Perfect gift for kids and adults. Shop at Lumu.,Trending & Viral Finds
car-scratch-wax,Lumu™ Car Scratch Repair Wax,"<p>Restore your car's showroom shine with this professional car scratch repair wax. Removes light scratches, swirl marks, and oxidation. Easy to apply with included sponge applicator.</p><ul><li>Removes light scratches & swirls</li><li>Restores paint shine</li><li>UV protection layer</li><li>Sponge applicator included</li><li>Works on all car colors</li></ul>",Lumu,Car Care,"Car, Auto, Scratch Repair, Wax, Polish, Trending",TRUE,Size,Default,ZMYD1941132-GLD-ZAM,200,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMYD1941132-GLD-ZAM,1,Car Scratch Repair Wax,Car Scratch Repair Wax | Lumu,Restore your cars showroom shine. Removes light scratches and swirl marks. Shop now at Lumu.,Trending & Viral Finds
